Home,Road,line,vscore,hscore,week,actual
Colorado St.,Oregon St.,4,27,58,1,31
Massachusetts,Hawaii,3,38,35,1,-3
San Jose St.,South Florida,-21,42,22,1,-20
Stanford,Rice,30.5,7,62,1,55
Alabama,Florida St.,7.5,7,24,2,17
Arizona St.,New Mexico St.,22.5,31,37,2,6
Auburn,Georgia Southern,34,7,41,2,34
Boise St.,Troy St.,10.5,13,24,2,11
Central Florida,Florida Intl.,17,17,61,2,44
Clemson,Kent,39.5,3,56,2,53
Coastal Carolina,Massachusetts,-2.5,28,38,2,10
Colorado,Colorado St.,3.5,3,17,2,14
Eastern Mich.,Charlotte,14,7,24,2,17
Florida,Michigan,-5.5,33,17,2,-16
Florida Atlantic,Navy,-9.5,42,19,2,-23
Georgia,Appalachian St.,12.5,10,31,2,21
Georgia Tech,Tennessee,-3.5,42,41,2,-1
Illinois,Ball St.,6.5,21,24,2,3
Indiana,Ohio St.,-21,49,21,2,-28
Iowa,Wyoming,12,3,24,2,21
LSU,BYU,14.5,0,27,2,27
Marshall,Miami (Ohio),-3,26,31,2,5
Memphis,Louisiana-Monroe,25.5,29,37,2,8
Michigan St.,Bowling Green,17,10,35,2,25
Middle Tenn.,Vanderbilt,-3,28,6,2,-22
Minnesota,Buffalo,24,7,17,2,10
Mississippi,South Alabama,22,27,47,2,20
NC St.,South Carolina,7,35,28,2,-7
Nebraska,Arkansas St.,14,36,43,2,7
North Carolina,California,12.5,35,30,2,-5
Northern Ill.,Boston College,-4,23,20,2,-3
Northwestern,Nevada,24,20,31,2,11
Notre Dame,Temple,18.5,16,49,2,33
Oklahoma,UTEP,43,7,56,2,49
Oklahoma St.,Tulsa,17.5,24,59,2,35
Penn St.,Akron,30.5,0,52,2,52
Purdue,Louisville,-25,35,28,2,-7
Rutgers,Washington,-27.5,30,14,2,-16
Southern Miss.,Kentucky,-10,24,17,2,-7
Texas,Maryland,19,51,41,2,-10
UCLA,Texas A&M,5,44,45,2,1
USC,Western Mich.,28,31,49,2,18
Virginia Tech,West Va.,5,24,31,2,7
Wisconsin,Utah St.,27.5,10,59,2,49
Alabama,Fresno St.,44,10,41,3,31
Arizona,Houston,-1,19,16,3,-3
Arizona St.,San Diego St.,3.5,30,20,3,-10
Arkansas,TCU,-3,28,7,3,-21
